402,PI3TWE,01456000,FM,0,2,0,0
403,,01456125,FM,0,2,0,0
404,,01456250,FM,0,2,0,0
405,,01456375,FM,0,2,0,0
406,PI3MEP,01456500,FM,0,2,0,0
407,,01456625,FM,0,2,0,0
408,PI3NOV,01456750,FM,0,2,0,0
409,,01456875,FM,0,2,0,0
410,PI3HVN,01457000,FM,0,2,0,0
411,,01457125,FM,0,2,0,0
412,PI3APD,01457250,FM,0,2,0,0
413,PI3FLD,01457375,FM,0,2,0,0
414,,01457500,FM,0,2,0,0
415,,01457625,FM,0,2,0,0
416,,01457750,FM,0,2,0,0
417,,01457875,FM,0,2,0,0
418,LOKAAL KANAAL,01454625,FM,0,2,0,0
419,,04300125,FM,0,2,0,0
420,PI2HVN,04300250,FM,0,2,0,0
421,,04300375,FM,0,2,0,0
422,PI2ASN,04300500,FM,0,2,0,0
423,,04300625,FM,0,2,0,0
424,,04300750,FM,0,2,0,0
425,,04300875,FM,0,2,0,0
426,,04301000,FM,0,2,0,0
427,,04301125,FM,0,2,0,0
428,PI2NOS,04301250,FM,0,2,0,0
429,,04301375,FM,0,2,0,0
430,PI2APD,04301500,FM,0,2,0,0
431,,04301625,FM,0,2,0,0
432,PI2KMP,04301750,FM,0,2,0,0
433,,04301875,FM,0,2,0,0
434,,04302000,FM,0,2,0,0
435,,04302125,FM,0,2,0,0
436,,04302250,FM,0,2,0,0
437,,04302375,FM,0,2,0,0
438,PI2AMF,04302500,FM,0,2,0,0
439,,04302625,FM,0,2,0,0
440,PI2NON,04302750,FM,0,2,1,0
441,PI2FLD,04302875,FM,0,2,0,0
442,,04303000,FM,0,2,0,0
443,,04303125,FM,0,2,0,0
444,,04303250,FM,0,2,0,0
445,,04303375,FM,0,2,0,0
446,PI2HGL,04303500,FM,0,2,0,0
447,,04303625,FM,0,2,0,0
448,,04392000,FM,0,2,1,0
451,PMR kanaal 1,04460062,FM,0,2,0,0
452,PMR kanaal 2,04460187,FM,0,2,0,0
453,PMR kanaal 3,04460312,FM,0,2,0,0
454,PMR kanaal 4,04460437,FM,0,2,1,0
455,PMR kanaal 5,04460562,FM,0,2,0,0
456,PMR kanaal 6,04460687,FM,0,2,0,0
457,PMR kanaal 7,04460812,FM,0,2,0,0
458,PMR kanaal 8,04460937,FM,0,2,0,0
459,PMR kanaal 9,04461062,FM,0,2,0,0
460,PMR kanaal 10,04461187,FM,0,2,0,0
461,PMR kanaal 11,04461312,FM,0,2,0,0
462,PMR kanaal 12,04461437,FM,0,2,0,0
463,PMR kanaal 13,04461562,FM,0,2,0,0
464,PMR kanaal 14,04461687,FM,0,2,0,0
465,PMR kanaal 15,04461812,FM,0,2,0,0
466,PMR kanaal 16,04461937,FM,0,2,0,0
